,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name
999,25859,llvm-project,2023-02-28 16:46:00,commit,2016-03-25 09:19:34-05:00,tobiasgrosser
1106,25918,sage,2023-02-28 16:46:00,commit,2011-06-08 07:01:46-05:00,jdemeyer
4094,25939,ompi,2023-02-28 16:46:00,commit,2012-07-23 08:21:19-05:00,jurenz
13338,26105,bbp,2023-02-28 16:46:00,commit,2019-04-02 15:08:25-05:00,fabiolsilva
20244,25939,ompi,2023-02-28 16:46:00,commit,2014-02-23 14:10:54-06:00,osvegis
22742,25991,hydroshare,2023-02-28 16:46:00,commit,2016-08-25 17:46:10-05:00,zhiyuli
23721,26069,Trilinos,2023-02-28 16:46:00,commit,2006-01-13 15:39:57-06:00,bartlettroscoe
26560,25918,sage,2023-02-28 16:46:00,commit,2020-04-24 03:44:32-05:00,videlec
27174,25964,GraviT,2023-02-28 16:46:00,commit,2015-11-08 19:08:30-06:00,jgbarbosa
29347,25964,GraviT,2023-02-28 16:46:00,commit,2015-01-26 07:38:24-06:00,jgbarbosa
29387,26069,Trilinos,2023-02-28 16:46:00,commit,2019-03-04 16:25:59-06:00,kyungjoo-kim
30910,25991,hydroshare,2023-02-28 16:46:00,commit,2016-01-22 16:25:54-06:00,hyi
35217,25939,ompi,2023-02-28 16:46:00,commit,2014-08-08 11:13:43-05:00,rhc54
36175,25939,ompi,2023-02-28 16:46:00,commit,2016-12-29 09:31:35-06:00,rhc54
37580,25918,sage,2023-02-28 16:46:00,commit,2014-08-27 03:10:22-05:00,jpflori
39669,25939,ompi,2023-02-28 16:46:00,commit,2014-03-17 16:27:58-05:00,rhc54
45582,25991,hydroshare,2023-02-28 16:46:00,commit,2020-12-03 17:24:44-06:00,mark-obrien
45950,25991,hydroshare,2023-02-28 16:46:00,commit,2015-02-03 19:11:42-06:00,gantian127
50156,25991,hydroshare,2023-02-28 16:46:00,commit,2019-03-17 11:03:03-05:00,keatingr
56850,25859,llvm-project,2023-02-28 16:46:00,commit,2019-03-30 12:12:29-05:00,RKSimon
62127,26025,timeR,2023-02-28 16:46:00,commit,2015-04-24 04:10:48-05:00,ikorb
64983,25859,llvm-project,2023-02-28 16:46:00,commit,2017-07-28 08:47:02-05:00,RKSimon
72688,25998,oauthenticator,2023-02-28 16:46:00,commit,2017-09-28 17:56:30-05:00,NickolausDS
78715,25918,sage,2023-02-28 16:46:00,commit,2022-10-18 09:34:10-05:00,MatteoCati
86030,25859,llvm-project,2023-02-28 16:46:00,commit,2013-04-19 18:26:18-05:00,eliben
90627,25939,ompi,2023-02-28 16:46:00,commit,2015-12-01 08:02:29-06:00,rhc54
91783,25939,ompi,2023-02-28 16:46:00,commit,2011-08-07 23:21:02-05:00,rhc54
94465,25859,llvm-project,2023-02-28 16:46:00,commit,2012-12-21 19:34:09-06:00,tkremenek
96994,25939,ompi,2023-02-28 16:46:00,commit,2015-08-01 12:01:02-05:00,rhc54
100830,26098,tracer,2023-02-28 16:46:00,commit,2014-02-17 08:06:01-06:00,ikorb
101692,25918,sage,2023-02-28 16:46:00,commit,2020-08-12 17:55:25-05:00,mkoeppe
105204,25918,sage,2023-02-28 16:46:00,commit,2014-09-19 03:53:04-05:00,mmasdeu
105677,25918,sage,2023-02-28 16:46:00,commit,2020-07-08 01:50:34-05:00,vipul79321
106163,25918,sage,2023-02-28 16:46:00,commit,2007-09-02 14:33:53-05:00,williamstein
107041,25939,ompi,2023-02-28 16:46:00,commit,2013-11-03 13:42:16-06:00,rhc54
107762,25991,hydroshare,2023-02-28 16:46:00,commit,2016-09-29 17:00:34-05:00,zhiyuli
112689,25918,sage,2023-02-28 16:46:00,commit,2017-09-05 09:44:24-05:00,jdemeyer
117103,25859,llvm-project,2023-02-28 16:46:00,commit,2016-08-10 06:22:57-05:00,martinboehme
120560,25918,sage,2023-02-28 16:46:00,commit,2012-05-26 21:57:57-05:00,novoselt
122378,25918,sage,2023-02-28 16:46:00,commit,2018-02-09 02:25:51-06:00,xamarin-release-manager
122385,25918,sage,2023-02-28 16:46:00,commit,2019-12-09 23:36:36-06:00,BrentBaccala
124648,25918,sage,2023-02-28 16:46:00,commit,2022-05-06 16:10:35-05:00,tobiasdiez
126131,25918,sage,2023-02-28 16:46:00,commit,2008-04-29 23:18:40-05:00,williamstein
