,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name
21,25991,hydroshare,2023-02-28 16:46:00,issue_created,2018-06-14 19:30:28,aphelionz
44,26021,IrodsShare,2023-02-28 16:46:00,issue_created,2015-03-01 18:07:01,alvacouch
115,26006,fastr,2023-02-28 16:46:00,issue_created,2018-11-21 10:03:08,comicfans
116,25895,cookie,2023-02-28 16:46:00,issue_created,2021-07-13 04:05:56,henryiii
141,25918,sage,2023-02-28 16:46:00,issue_created,2008-05-03 06:51:25,f24a61a5-6d18-41b9-931c-f81021ad4b5a
176,25918,sage,2023-02-28 16:46:00,issue_created,2015-10-14 18:17:56,cnassau
333,26091,root_numpy,2023-02-28 16:46:00,issue_created,2019-01-30 22:11:53,chrisburr
366,26078,formulate,2023-02-28 16:46:00,issue_created,2018-02-23 11:29:20,chrisburr
416,26051,UCVMC,2023-02-28 16:46:00,issue_created,2018-07-19 23:31:07,meihuisu
509,25866,hist,2023-02-28 16:46:00,issue_created,2022-08-08 14:56:18,Dominic-Stafford
537,25866,hist,2023-02-28 16:46:00,issue_created,2021-11-23 21:26:18,agoose77
584,25866,hist,2023-02-28 16:46:00,issue_created,2021-04-11 19:50:24,henryiii
756,25991,hydroshare,2023-02-28 16:46:00,issue_created,2020-11-13 19:24:19,alvacouch
869,25917,psi4,2023-02-28 16:46:00,issue_created,2019-04-27 10:49:06,chrinide
922,25887,SciDB-Py,2023-02-28 16:46:00,issue_created,2018-02-16 23:40:54,jrivers96
926,25887,SciDB-Py,2023-02-28 16:46:00,issue_created,2018-01-20 00:15:06,apoliakov
952,26045,dealii,2023-02-28 16:46:00,issue_created,2017-11-02 12:58:07,agrayver
1033,25887,SciDB-Py,2023-02-28 16:46:00,issue_created,2014-04-17 15:11:02,ChrisBeaumont
1077,25854,revealcore,2023-02-28 16:46:00,issue_created,2022-06-29 20:31:48,ksens
1173,25991,hydroshare,2023-02-28 16:46:00,issue_created,2018-04-26 12:18:37,danames
1236,25886,mplhep,2023-02-28 16:46:00,issue_created,2020-09-29 17:52:26,dildick
1240,25822,uproot4,2023-02-28 16:46:00,issue_created,2022-08-24 19:20:27,jpivarski
1246,25822,uproot4,2023-02-28 16:46:00,issue_created,2022-08-03 18:55:56,jlabounty
1279,25886,mplhep,2023-02-28 16:46:00,issue_created,2020-03-06 15:57:44,HDembinski
1374,25918,sage,2023-02-28 16:46:00,issue_created,2009-05-27 21:20:16,jasongrout
1416,26091,root_numpy,2023-02-28 16:46:00,issue_created,2016-10-24 22:33:51,jpivarski
1508,26091,root_numpy,2023-02-28 16:46:00,issue_created,2012-11-18 16:42:55,cdeil
1582,25862,quda,2023-02-28 16:46:00,issue_created,2018-10-19 20:51:45,maddyscientist
1626,25870,silver,2023-02-28 16:46:00,issue_created,2021-01-14 23:42:28,remexre
1628,25917,psi4,2023-02-28 16:46:00,issue_created,2016-02-01 18:57:36,jturney
1677,25918,sage,2023-02-28 16:46:00,issue_created,2018-02-20 16:49:56,fchapoton
1683,25870,silver,2023-02-28 16:46:00,issue_created,2019-04-21 16:37:55,krame505
1707,25917,psi4,2023-02-28 16:46:00,issue_created,2015-07-13 22:45:29,loriab
1783,25917,psi4,2023-02-28 16:46:00,issue_created,2013-08-06 14:21:22,jsspencer
1897,25989,Block,2023-02-28 16:46:00,issue_created,2017-10-12 23:14:37,hungpham2017
1932,25870,silver,2023-02-28 16:46:00,issue_created,2015-08-20 23:16:33,GoogleCodeExporter
2007,25973,cctools,2023-02-28 16:46:00,issue_created,2022-01-28 20:10:57,dthain
2061,25918,sage,2023-02-28 16:46:00,issue_created,2017-10-13 11:52:00,simonbrandhorst
2111,26076,uhi,2023-02-28 16:46:00,issue_created,2021-03-09 16:16:40,henryiii
2126,25917,psi4,2023-02-28 16:46:00,issue_created,2023-02-15 14:38:05,JonathonMisiewicz
